UID,TERM,PELL,GRADUATED
579313,201124,1500.0,No
579384,201124,278.0,No
579411,201018,2550.0,Yes
579430,201018,2350.0,Yes
579921,201018,1500.0,Yes
580047,201018,2775.0,Yes
581049,201128,1388.0,Yes
581171,201018,2650.0,Yes
581193,201018,826.55,No
581552,201018,2150.0,Yes
581553,201018,2750.0,Yes
581903,201018,2775.0,Yes
581960,201124,2750.0,Yes
582153,201124,450.0,Yes
582353,201018,2750.0,Yes
582519,201018,2300.0,Yes
582779,201018,1913.72,No
583156,201018,2600.0,Yes
583160,201018,2775.0,Yes
583177,201238,2775.0,Yes
583179,201018,850.0,Yes
583189,201018,2775.0,Yes
583309,201018,2775.0,Yes
583332,201018,2775.0,Yes
583387,201018,700.0,Yes
583694,201018,2400.0,Yes
584019,201018,1388.0,No
584032,201018,277.0,Yes
584113,201018,588.0,Yes
584271,201018,1800.0,Yes
584274,201018,1950.0,Yes
584320,201018,2750.0,Yes
584418,201018,1100.0,Yes
584894,201018,650.0,Yes
584994,201018,800.0,Yes
585002,201344,1248.0,No
585025,201018,1850.0,Yes
585172,201018,950.0,Yes
585213,201018,2200.0,Yes
585396,201018,1350.0,Yes
585660,201018,2650.0,Yes
585759,201018,1250.0,Yes
586108,201018,2775.0,Yes
586242,201018,2700.0,Yes
586362,201018,2700.0,Yes
586449,202344,2273.0,No
586917,201018,2750.0,Yes
587171,201018,2750.0,Yes
587196,201018,2775.0,Yes
587271,201018,2550.0,Yes
587576,201018,919.33,No
587841,201018,2775.0,Yes
588223,201018,2775.0,Yes
588364,201128,1550.0,Yes
588500,201894,2923.0,Yes
588531,201128,2775.0,Yes
588568,201018,2775.0,Yes
537181,201018,2700.0,Yes
588758,201018,2082.0,Yes
588874,201018,2700.0,Yes
588906,201018,2775.0,Yes
589173,201018,2775.0,Yes
589260,201018,2775.0,Yes
589267,201018,1800.0,Yes
589539,201018,1200.0,Yes
590242,201018,2775.0,Yes
590257,201018,2775.0,Yes
590288,201018,2775.0,Yes
590329,201124,2775.0,Yes
590366,201018,2775.0,Yes
590491,201018,400.0,Yes
590520,201124,2750.0,Yes
590600,201018,2750.0,Yes
590697,201018,2775.0,Yes
590775,201018,1350.0,Yes
590923,201018,2775.0,Yes
591131,201018,1150.0,Yes
386750,201018,2650.0,Yes
381175,201018,2082.0,Yes
591714,201018,2600.0,Yes
592057,201018,2750.0,Yes
592350,201018,1250.0,Yes
592366,201018,1500.0,Yes
592384,201018,1700.0,Yes
592449,201018,1800.0,Yes
592461,201018,800.0,Yes
592476,201018,2775.0,Yes
592475,201018,750.0,Yes
592573,201124,2050.0,Yes
592596,201234,1050.0,Yes
592598,201018,1450.0,Yes
376308,201018,2500.0,Yes
592827,201564,2888.0,No
592935,201124,278.0,Yes
592938,201124,2775.0,Yes
592944,201018,2775.0,Yes
592996,202344,3673.0,No
592998,201018,2775.0,Yes
593036,201018,2775.0,Yes
593093,201018,2050.0,Yes
593239,201124,278.0,Yes
