UID,TERM,LOAN,GRADUATED
554935,201018,4250.0,Yes
554954,201018,2750.0,Yes
555175,201018,7060.0,Yes
555545,201018,3750.0,Yes
555699,201018,7500.0,Yes
555715,201018,3750.0,Yes
555854,201018,10569.0,Yes
555862,201124,3750.0,Yes
555923,201018,6750.0,Yes
555945,201018,3750.0,No
555956,201018,4250.0,Yes
556074,201124,6750.0,Yes
556215,201018,12625.0,Yes
556243,201018,3750.0,Yes
556297,201018,6750.0,Yes
556318,201018,10250.0,Yes
556329,201018,3250.0,Yes
345644,201018,17734.0,Yes
556458,201018,6650.0,Yes
556594,201018,3750.0,Yes
556737,201018,4250.0,Yes
556921,201018,10500.0,Yes
556925,201124,10438.0,Yes
556936,201018,9250.0,Yes
557239,201018,5749.0,Yes
557278,201018,11000.0,Yes
557382,201018,3250.0,Yes
557612,201018,3750.0,Yes
557976,201018,11250.0,Yes
558157,201018,4250.0,Yes
558306,201018,6249.0,Yes
558716,201018,3125.0,Yes
558739,201124,6650.0,Yes
558968,201018,2250.0,Yes
559248,201018,6250.0,Yes
559422,201018,4250.0,Yes
559490,201018,7250.0,Yes
559943,201018,13289.0,Yes
559949,201018,4560.0,Yes
560000,201018,12512.0,Yes
560121,201124,2750.0,Yes
560533,201018,2750.0,Yes
560634,201018,3900.0,Yes
560685,201018,3250.0,Yes
560692,201124,2750.0,No
560694,201018,12696.0,Yes
560803,201018,11250.0,Yes
560837,201018,3750.0,Yes
560866,201124,3750.0,Yes
560956,201018,6250.0,Yes
561180,201458,5500.0,Yes
561195,201018,3750.0,Yes
561293,201124,8650.0,Yes
561365,201124,7250.0,Yes
561367,201018,8307.0,Yes
561380,201124,7793.0,Yes
561443,201124,3250.0,Yes
561457,201018,3749.0,Yes
561612,201018,4250.0,Yes
561648,201018,3250.0,Yes
561864,201018,9250.0,Yes
561951,201568,4626.0,No
562666,201124,7521.0,No
562743,201018,8950.0,Yes
562885,201018,3750.0,Yes
562903,201018,13000.0,Yes
563129,201018,3250.0,Yes
563165,201018,4750.0,Yes
563182,201018,3750.0,Yes
563249,201018,2150.0,Yes
563312,201018,6749.0,Yes
563503,201018,6249.0,No
563504,201018,3750.0,Yes
563627,201018,9250.0,Yes
563682,201018,6750.0,Yes
563834,201018,11295.0,Yes
563855,201018,10516.0,Yes
563856,201018,6250.0,Yes
563895,201018,12539.0,Yes
564204,201018,9250.0,Yes
564259,201018,16250.0,Yes
564355,201678,6250.0,Yes
564720,201124,6750.0,Yes
564933,201018,2568.0,Yes
564939,201344,6250.0,Yes
564996,201018,11750.0,Yes
565162,201018,3250.0,Yes
565176,201018,4250.0,Yes
565249,201018,9610.0,Yes
565372,201018,3750.0,No
565392,201124,6650.0,Yes
565399,201124,3750.0,Yes
565434,201018,12500.0,No
565444,201018,3750.0,Yes
565588,201018,3250.0,Yes
565660,201018,5150.0,No
565664,201018,2750.0,Yes
565860,201124,4250.0,Yes
566052,201018,481.0,No
566058,201018,3750.0,Yes
566117,201018,2750.0,Yes
566125,201018,7857.0,Yes
566172,201018,4377.0,No
566300,201018,3250.0,Yes
566332,201018,2500.0,Yes
566465,201018,5750.0,Yes
566687,201018,4250.0,Yes
566690,201018,6750.0,Yes
566705,201124,4166.0,No
566855,201124,2750.0,Yes
567128,201018,8250.0,Yes
567145,201018,3750.0,No
567502,201018,5250.0,Yes
567884,201018,5750.0,No
567890,201018,5500.0,Yes
568006,201018,5750.0,Yes
568009,201018,2750.0,Yes
569041,201124,15190.0,Yes
568048,201018,1929.0,Yes
568110,201018,8000.0,Yes
568121,201018,4250.0,Yes
568128,201018,1789.0,Yes
568293,201018,2250.0,Yes
568324,201018,7795.0,Yes
568363,201018,7121.0,Yes
568371,201018,5793.0,Yes
568395,201018,12250.0,Yes
568430,201018,5150.0,Yes
568431,201454,4750.0,Yes
383185,201018,639.0,Yes
568573,201018,3750.0,Yes
568614,201018,3944.0,No
568838,201018,6750.0,Yes
568880,201018,500.0,Yes
568891,201124,13550.0,Yes
568911,201018,7750.0,Yes
568941,201018,3150.0,Yes
569038,201018,19750.0,Yes
569394,201128,4250.0,Yes
569409,201124,10810.0,Yes
569612,201454,4810.0,Yes
569637,201018,10582.0,Yes
569682,201124,6350.0,Yes
569896,201018,6250.0,Yes
570148,201018,3749.0,Yes
570225,201018,9166.0,Yes
570664,201018,3750.0,Yes
570873,201018,12445.0,Yes
570970,201018,5150.0,Yes
571094,201018,4062.0,Yes
571157,201018,5150.0,No
565775,201018,7900.0,Yes
571206,201018,3750.0,Yes
571233,201018,6750.0,Yes
571243,201018,5750.0,Yes
571598,201018,7850.0,Yes
571629,201018,6650.0,Yes
571657,201018,3250.0,Yes
571671,201018,4250.0,Yes
571741,201018,1750.0,Yes
571776,201018,4250.0,Yes
571863,201018,3750.0,No
571871,201018,2750.0,Yes
572064,201018,14793.0,Yes
572167,201018,3250.0,Yes
572326,201018,7250.0,Yes
572393,201018,3250.0,Yes
572424,201018,3750.0,Yes
572523,201018,0.0,No
572531,201018,0.0,Yes
572667,201018,13750.0,Yes
572755,201018,5500.0,Yes
572790,201018,3750.0,Yes
572885,201018,3749.0,Yes
572921,201018,9894.0,Yes
573549,201018,3750.0,Yes
573563,201018,3749.0,Yes
573649,201124,9881.0,Yes
573750,201018,3250.0,Yes
573969,201018,3750.0,Yes
573981,201124,9250.0,Yes
574074,201124,4250.0,Yes
574401,201018,3250.0,Yes
574602,201018,11050.0,Yes
574711,201018,5666.0,Yes
574719,201018,5750.0,Yes
574818,201018,3250.0,Yes
386498,201018,2750.0,Yes
574975,201018,10362.0,Yes
575006,201018,7250.0,Yes
575007,201018,4250.0,Yes
575026,201018,12250.0,Yes
575052,201124,3750.0,Yes
384555,201018,3750.0,Yes
575188,201018,6750.0,Yes
575194,201018,3250.0,Yes
575219,201018,0.0,Yes
575231,201018,3250.0,Yes
575242,201018,6750.0,Yes
575250,201018,15299.0,Yes
575254,201018,6000.0,Yes
575269,201018,7750.0,Yes
575496,201018,6250.0,Yes
385168,201018,6250.0,Yes
575660,201018,8250.0,Yes
575728,201018,5250.0,Yes
575760,201018,0.0,Yes
575850,201018,9803.0,Yes
575856,202124,5250.0,No
575939,201018,6750.0,Yes
575947,201018,7750.0,Yes
575958,201018,2150.0,Yes
575960,201018,3150.0,Yes
576299,201018,6750.0,Yes
576319,201018,7020.0,Yes
576334,201018,4250.0,No
576404,201018,4250.0,Yes
576464,201124,3750.0,Yes
368403,201018,3750.0,Yes
383618,201018,13250.0,Yes
576516,201018,6650.0,No
576517,201018,2750.0,Yes
345959,201018,15124.0,Yes
576530,201018,6750.0,Yes
576598,201018,2750.0,Yes
576615,201018,3250.0,Yes
576642,201018,2750.0,Yes
576664,201234,3750.0,Yes
576668,201018,9250.0,Yes
576672,201124,3750.0,Yes
576678,201018,2750.0,Yes
576680,201018,4000.0,Yes
576698,201018,3750.0,Yes
576713,201018,5464.0,Yes
576826,201018,3750.0,Yes
576884,201018,3250.0,Yes
576898,201018,3750.0,Yes
576909,201018,3713.0,Yes
576915,201018,6250.0,Yes
576944,201018,3750.0,Yes
576995,201018,12250.0,Yes
577078,201018,3750.0,Yes
577083,201018,2750.0,Yes
577087,201124,9473.0,Yes
577108,201018,6250.0,Yes
577110,201018,3750.0,Yes
577112,201018,2750.0,Yes
577129,201018,3250.0,Yes
577141,201018,7750.0,Yes
577189,201018,4450.0,Yes
577235,201018,3750.0,Yes
577236,201018,3750.0,Yes
577249,201018,2750.0,Yes
577289,201018,13152.0,Yes
577368,201018,6250.0,Yes
577404,201128,5650.0,Yes
577436,201018,11960.0,Yes
577465,201018,3250.0,Yes
577563,201124,7500.0,Yes
577622,201018,6350.0,Yes
577626,201018,2500.0,Yes
577680,201124,12385.0,Yes
577786,201018,9990.0,Yes
577794,201018,2700.0,Yes
577795,201018,3200.0,Yes
577811,201018,15589.0,Yes
577824,201018,3250.0,Yes
578037,201018,2750.0,Yes
578048,201018,2750.0,Yes
578228,201018,3750.0,Yes
578286,201018,2571.0,Yes
578325,201124,4250.0,Yes
578351,201018,2150.0,Yes
578711,201018,4250.0,Yes
578740,201018,2750.0,Yes
578898,201234,6250.0,Yes
578899,201018,2750.0,Yes
579039,201018,3750.0,Yes
579068,201018,6250.0,No
579313,201124,16170.0,No
579384,201124,3750.0,No
579411,201018,7688.0,Yes
579430,201018,2750.0,Yes
579483,201018,5761.0,Yes
579657,201018,5250.0,Yes
579697,201018,10250.0,Yes
579725,201018,13304.0,Yes
579921,201018,7250.0,Yes
579973,201018,12499.0,Yes
580047,201018,2897.0,Yes
580159,201018,9708.0,Yes
580267,201018,0.0,Yes
580271,201018,10123.0,Yes
580377,201124,0.0,Yes
580407,201018,6300.0,Yes
580541,201018,6250.0,Yes
580745,201018,0.0,Yes
581049,201128,6250.0,Yes
581128,201018,3750.0,Yes
581171,201018,2084.0,Yes
581193,201018,6250.0,No
581255,201018,3750.0,Yes
581313,201018,2750.0,Yes
581383,201234,4750.0,Yes
581732,201018,6250.0,Yes
581903,201018,4250.0,Yes
581960,201124,14250.0,Yes
581964,201018,13075.0,Yes
581968,201018,3750.0,Yes
582013,201018,4250.0,Yes
582153,201124,9250.0,Yes
582240,201018,10615.0,Yes
582254,201018,889.0,Yes
582279,201018,11250.0,Yes
582413,201018,9750.0,Yes
582471,201018,14629.0,Yes
582484,201018,20594.0,Yes
582519,201018,3250.0,Yes
582743,201018,3750.0,Yes
582779,201018,0.0,No
582809,201018,3250.0,Yes
582839,201018,13750.0,Yes
384328,201018,10380.0,Yes
583054,201018,2750.0,No
583160,201018,9082.0,Yes
583166,201018,3750.0,Yes
583177,201238,964.0,Yes
583179,201018,3250.0,Yes
583217,201018,4250.0,Yes
583275,201018,12750.0,Yes
583309,201018,2750.0,Yes
583332,201018,4881.0,Yes
583351,201018,3250.0,Yes
583387,201018,3250.0,Yes
583399,201458,2750.0,Yes
583402,201018,2750.0,No
583419,201018,3750.0,Yes
583694,201018,4250.0,Yes
583847,201018,10553.0,Yes
583848,201344,9491.0,Yes
583849,201674,9063.0,Yes
583870,201234,11639.0,Yes
583881,201238,12580.0,Yes
583961,201018,2750.0,Yes
584019,201018,6250.0,No
584032,201018,3749.0,Yes
584113,201018,1115.0,Yes
584270,201018,8250.0,Yes
584271,201018,4250.0,Yes
584274,201018,6250.0,Yes
584278,201018,4250.0,Yes
584301,201128,2250.0,Yes
584320,201018,3750.0,Yes
584398,201018,1750.0,Yes
584403,201018,2750.0,Yes
584418,201018,13250.0,Yes
584589,201018,3749.0,Yes
584683,201018,8500.0,Yes
584709,201018,0.0,No
584994,201018,10827.0,Yes
585002,201344,6250.0,No
585017,201018,0.0,Yes
585025,201018,4250.0,Yes
585058,201018,14288.0,Yes
585102,201124,2000.0,Yes
585105,201018,7500.0,Yes
585172,201018,3750.0,Yes
585198,201018,500.0,Yes
585213,201018,3250.0,Yes
585235,201454,2750.0,Yes
585396,201018,2750.0,Yes
585660,201018,1000.0,Yes
585715,201018,3749.0,Yes
585759,201018,6250.0,Yes
585818,201018,7000.0,Yes
585827,201018,12000.0,Yes
585870,201018,6750.0,No
585917,201018,11750.0,Yes
585969,201128,9750.0,Yes
586224,201018,3578.0,Yes
586242,201018,2750.0,Yes
586303,201018,6250.0,Yes
586357,201018,4250.0,Yes
586362,201018,7750.0,Yes
586368,201018,4250.0,Yes
586439,201018,14750.0,Yes
586441,201018,2750.0,Yes
586648,201018,3750.0,Yes
586756,201018,3750.0,Yes
586784,201018,6050.0,Yes
586916,201018,2750.0,Yes
586922,201018,3750.0,Yes
586946,201018,3750.0,Yes
587045,201018,3250.0,Yes
587054,201018,9250.0,Yes
587171,201018,4250.0,Yes
587196,201018,6750.0,Yes
587246,201018,14750.0,Yes
587269,201018,11550.0,Yes
587271,201018,4250.0,Yes
587275,201018,7365.0,Yes
587276,201018,3750.0,Yes
587347,201018,3250.0,Yes
587358,201018,6650.0,Yes
587390,201018,13750.0,Yes
587419,201018,2117.0,Yes
587473,201018,8750.0,Yes
587576,201018,0.0,No
539806,201018,3750.0,Yes
587841,201018,3250.0,Yes
587859,201018,11653.0,Yes
587874,201018,6750.0,Yes
588004,201018,3750.0,Yes
