UID,TERM,FGEN,GRADUATED
551008,201018,No,Yes
551126,201018,No,Yes
551245,201018,No,Yes
551343,201018,No,Yes
551481,201018,No,Yes
551482,201018,No,No
551926,201018,No,Yes
551937,201018,No,Yes
551959,201018,Yes,Yes
551979,201018,No,Yes
552040,201018,No,Yes
552088,201018,No,Yes
552196,201018,No,Yes
552198,201018,No,Yes
552423,201018,No,Yes
552804,201018,Yes,Yes
552831,201018,No,Yes
382607,201018,No,Yes
552929,201018,No,Yes
552979,201018,No,Yes
553046,201018,No,Yes
553051,201018,No,Yes
553087,201018,No,Yes
553095,201458,Yes,Yes
553146,201018,No,No
553175,201018,No,Yes
553252,201018,No,Yes
553403,201018,Yes,Yes
553444,201018,Yes,Yes
553575,201018,Yes,Yes
553612,201018,No,No
553648,201018,No,Yes
553650,201124,No,Yes
553660,201018,Yes,Yes
553684,201018,Yes,No
553689,201018,No,Yes
553758,201018,No,Yes
553789,201018,No,Yes
553842,201018,No,Yes
553883,201018,No,Yes
553959,201018,No,Yes
554164,201018,Yes,Yes
554196,201018,Yes,Yes
554242,201018,No,Yes
554264,201458,No,Yes
554276,202234,No,No
554369,201018,No,Yes
554397,201018,No,Yes
554407,201124,Yes,Yes
554575,201018,No,Yes
554611,201018,No,Yes
554641,201018,No,Yes
554704,201018,No,Yes
523022,201018,No,Yes
554759,201018,No,Yes
554784,201124,No,Yes
554849,201018,No,Yes
554852,201018,No,Yes
554853,201018,Yes,Yes
554867,201124,No,Yes
554869,201124,No,Yes
554935,201018,No,Yes
554948,201018,No,Yes
554954,201018,No,Yes
554958,201018,No,No
555067,201018,No,Yes
555175,201018,No,Yes
555178,201018,Yes,Yes
555416,201018,No,Yes
555489,201018,No,Yes
555545,201018,Yes,Yes
555699,201018,No,Yes
555715,201018,No,Yes
555745,201018,No,Yes
555854,201018,Yes,Yes
555862,201124,Yes,Yes
555923,201018,No,Yes
555945,201018,Yes,No
555956,201018,Yes,Yes
556074,201124,Yes,Yes
556080,201018,No,Yes
556101,201018,No,Yes
556215,201018,Yes,Yes
542118,201018,No,Yes
556243,201018,No,Yes
556254,201018,No,Yes
556297,201018,Yes,Yes
556318,201018,No,Yes
556329,201018,Yes,Yes
345644,201018,No,Yes
556458,201018,No,Yes
556514,201234,No,Yes
556594,201018,No,Yes
556737,201018,No,Yes
556835,201018,No,Yes
556921,201018,No,Yes
556923,201018,No,Yes
556925,201124,No,Yes
556936,201018,No,Yes
557025,201018,No,Yes
557214,201124,No,Yes
557239,201018,No,Yes
557278,201018,Yes,Yes
557313,201018,No,Yes
557382,201018,No,Yes
557612,201018,No,Yes
557737,201674,No,Yes
557779,201124,No,Yes
557792,201018,Yes,Yes
557921,201674,No,Yes
557976,201018,Yes,Yes
558157,201018,Yes,Yes
558306,201018,No,Yes
558311,201018,No,Yes
558390,201124,No,Yes
558553,201128,Yes,No
558716,201018,No,Yes
558739,201124,Yes,Yes
558968,201018,No,Yes
559248,201018,No,Yes
559253,201124,No,Yes
559422,201018,No,Yes
559490,201018,No,Yes
559779,201018,No,Yes
559943,201018,No,Yes
559949,201018,No,Yes
560000,201018,No,Yes
560121,201124,No,Yes
560133,201018,No,Yes
560533,201018,Yes,Yes
560633,201018,No,Yes
560634,201018,No,Yes
560637,201124,No,Yes
547413,201018,No,Yes
560685,201018,No,Yes
560692,201124,No,No
560694,201018,Yes,Yes
560795,201018,Yes,No
560803,201018,No,Yes
560805,201018,No,Yes
560837,201018,No,Yes
560856,201018,No,Yes
560866,201124,No,Yes
560869,201018,No,Yes
560950,201124,No,Yes
560956,201018,No,Yes
560979,201018,No,Yes
561180,201458,Yes,Yes
561181,201128,No,Yes
561195,201018,No,Yes
561293,201124,No,Yes
561321,201018,No,Yes
561365,201124,No,Yes
561367,201018,No,Yes
561380,201124,Yes,Yes
561443,201124,No,Yes
561457,201018,No,Yes
561467,201124,No,Yes
561519,201018,No,Yes
539790,201018,No,Yes
561594,201018,Yes,Yes
561612,201018,No,Yes
561648,201018,Yes,Yes
561864,201018,No,Yes
561951,201568,Yes,No
562279,201018,No,Yes
562666,201124,No,No
562743,201018,No,Yes
562885,201018,Yes,Yes
562903,201018,No,Yes
563129,201018,No,Yes
563165,201018,No,Yes
563182,201018,No,Yes
563249,201018,No,Yes
563259,201018,No,Yes
563312,201018,No,Yes
563333,201018,Yes,Yes
563503,201018,No,No
563504,201018,No,Yes
563544,201124,No,Yes
563627,201018,No,Yes
563668,201018,No,Yes
563682,201018,No,Yes
563834,201018,Yes,Yes
563855,201018,No,Yes
563856,201018,No,Yes
563895,201018,No,Yes
564011,201018,No,Yes
564062,201018,Yes,Yes
564129,201234,No,No
564162,201018,No,Yes
564204,201018,Yes,Yes
564236,202124,No,No
564259,201018,No,Yes
564280,201018,No,Yes
564355,201678,No,Yes
564593,201018,No,Yes
564720,201124,No,Yes
564933,201018,No,Yes
564939,201344,No,Yes
564996,201018,No,Yes
565162,201018,No,Yes
565176,201018,No,Yes
565183,201018,No,Yes
565249,201018,No,Yes
565324,201018,No,Yes
