UID,TERM,PLU_SCHOLARSHIP,GRADUATED
551959,201018,874.0,Yes
551979,201018,7000.0,Yes
552040,201018,7500.0,Yes
552088,201018,1000.0,Yes
552196,201018,4628.0,Yes
552198,201018,9000.0,Yes
552804,201018,6000.0,Yes
552831,201018,10302.0,Yes
382607,201018,9500.0,Yes
552929,201018,11499.0,Yes
552979,201018,5000.0,Yes
553046,201018,9731.0,Yes
553051,201018,6999.0,Yes
553087,201018,6950.0,Yes
553095,201458,8000.0,Yes
553146,201018,0.0,No
553175,201018,5211.0,Yes
553403,201018,7724.0,Yes
553444,201018,4716.0,Yes
553575,201018,6000.0,Yes
553612,201018,1435.0,No
553648,201018,8000.0,Yes
553660,201018,8500.0,Yes
553684,201018,4500.0,No
553689,201018,8000.0,Yes
553758,201018,9156.0,Yes
553842,201018,0.0,Yes
553883,201018,6499.0,Yes
553959,201018,7505.0,Yes
554164,201018,6838.0,Yes
554196,201018,7000.0,Yes
554242,201018,4628.0,Yes
554264,201458,7000.0,Yes
554369,201018,6500.0,Yes
554397,201018,7500.0,Yes
554407,201124,0.0,Yes
554575,201018,8500.0,Yes
554611,201018,0.0,Yes
554641,201018,6000.0,Yes
554704,201018,9250.0,Yes
523022,201018,8000.0,Yes
554784,201124,1000.0,Yes
554853,201018,12143.0,Yes
554867,201124,8750.0,Yes
554869,201124,6250.0,Yes
554935,201018,12635.0,Yes
554948,201018,9000.0,Yes
554954,201018,4807.0,Yes
555067,201018,14600.0,Yes
555175,201018,9400.0,Yes
555178,201018,8499.0,Yes
555416,201018,7000.0,Yes
555489,201018,3500.0,Yes
555545,201018,6500.0,Yes
555715,201018,10000.0,Yes
555854,201018,2000.0,Yes
555862,201124,7500.0,Yes
555923,201018,9934.0,Yes
555945,201018,6500.0,No
555956,201018,7999.0,Yes
556074,201124,4143.0,Yes
556080,201018,0.0,Yes
556101,201018,8500.0,Yes
556215,201018,6944.11,Yes
542118,201018,15100.0,Yes
556243,201018,7000.0,Yes
556254,201018,3650.0,Yes
556297,201018,7958.0,Yes
556318,201018,8514.0,Yes
556329,201018,8500.0,Yes
345644,201018,0.0,Yes
556458,201018,4499.0,Yes
556514,201234,3000.0,Yes
556594,201018,2149.0,Yes
556737,201018,6354.0,Yes
556835,201018,10100.0,Yes
556921,201018,8500.0,Yes
556923,201018,9000.0,Yes
