UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
575845,201018,6694.0,Yes
575850,201018,6045.0,Yes
575856,202124,8618.0,No
575939,201018,3172.0,Yes
576299,201018,6658.0,Yes
576319,201018,3150.0,Yes
576334,201018,7133.0,No
576404,201018,2000.0,Yes
576464,201124,850.0,Yes
368403,201018,3866.0,Yes
576629,201018,8088.0,Yes
576680,201018,7088.0,Yes
576884,201018,5522.0,Yes
576909,201018,6708.0,Yes
576915,201018,4658.0,Yes
576941,201018,1500.0,Yes
577087,201124,6213.0,Yes
577108,201018,6958.0,Yes
577141,201018,4222.0,Yes
577465,201018,3200.0,Yes
577620,201018,8188.0,Yes
577638,201128,6058.0,Yes
577811,201018,4719.0,Yes
578037,201018,6213.0,Yes
578286,201018,5773.0,Yes
578351,201018,3625.0,Yes
578711,201018,1150.0,Yes
578898,201234,5483.0,Yes
579039,201018,1800.0,Yes
579068,201018,7133.0,No
579313,201124,2949.0,No
579384,201124,778.0,No
579411,201018,6908.0,Yes
579430,201018,6708.0,Yes
579921,201018,1600.0,Yes
579973,201018,500.0,Yes
580047,201018,6495.0,Yes
580407,201018,1876.0,Yes
581049,201128,3542.0,Yes
581171,201018,6608.0,Yes
581193,201018,1076.55,No
581313,201018,500.0,Yes
581552,201018,5688.0,Yes
581553,201018,3500.0,Yes
581732,201018,1876.0,Yes
581903,201018,5275.0,Yes
581960,201124,3250.0,Yes
582153,201124,950.0,Yes
582279,201018,500.0,Yes
582353,201018,5821.0,Yes
582519,201018,5069.0,Yes
582779,201018,2413.72,No
583156,201018,6958.0,Yes
583160,201018,2825.0,Yes
583177,201238,7533.0,Yes
583179,201018,3622.0,Yes
583189,201018,5479.0,Yes
583309,201018,6213.0,Yes
583332,201018,6733.0,Yes
583387,201018,1200.0,Yes
583694,201018,4971.0,Yes
583849,201674,1250.0,Yes
584019,201018,1638.0,No
584032,201018,777.0,Yes
584113,201018,688.0,Yes
584271,201018,5542.0,Yes
584274,201018,5908.0,Yes
584278,201018,500.0,Yes
584320,201018,6708.0,Yes
584418,201018,5458.0,Yes
584894,201018,3422.0,Yes
584994,201018,1300.0,Yes
585002,201344,3813.0,No
585025,201018,2350.0,Yes
585102,201124,500.0,Yes
585172,201018,3450.0,Yes
