UID,TERM,WORK_STUDY,GRADUATED
568573,201018,1750.0,Yes
568614,201018,1750.0,No
568838,201018,3500.0,Yes
569394,201128,5000.0,Yes
569637,201018,1750.0,Yes
570873,201018,1750.0,Yes
570970,201018,757.0,Yes
571094,201018,662.0,Yes
571157,201018,1505.0,No
571198,201018,1750.0,Yes
565775,201018,1750.0,Yes
571206,201018,4000.0,Yes
571233,201018,609.0,Yes
571243,201018,1000.0,Yes
571598,201018,2378.0,Yes
571629,201018,2310.0,Yes
571657,201018,1221.0,Yes
571671,201018,1750.0,Yes
571741,201018,1166.0,Yes
571776,201018,1639.0,Yes
571871,201018,2400.0,Yes
572064,201018,397.0,Yes
572167,201018,1750.0,Yes
572326,201018,2641.0,Yes
572523,201018,0.0,No
572755,201018,868.0,Yes
572921,201018,1717.0,Yes
572972,201018,2877.0,Yes
573549,201018,2250.0,Yes
573649,201124,1000.0,Yes
573834,201018,1750.0,Yes
573981,201124,1750.0,Yes
574074,201124,1200.0,Yes
574401,201018,1750.0,Yes
574711,201018,1000.0,Yes
574719,201018,1750.0,Yes
574818,201018,1750.0,Yes
386498,201018,2799.0,Yes
574975,201018,1499.0,Yes
575006,201018,0.0,Yes
575007,201018,1750.0,Yes
575026,201018,1750.0,Yes
575052,201124,1375.0,Yes
575194,201018,1750.0,Yes
385168,201018,1750.0,Yes
575760,201018,1750.0,Yes
575939,201018,3448.0,Yes
575947,201018,2500.0,Yes
575958,201018,1750.0,Yes
575960,201018,1750.0,Yes
576299,201018,4248.0,Yes
576319,201018,769.0,Yes
576334,201018,1500.0,No
576404,201018,1750.0,Yes
576464,201124,1750.0,Yes
383618,201018,1077.0,Yes
576516,201018,1750.0,No
576530,201018,1750.0,Yes
576598,201018,1750.0,Yes
576615,201018,3674.0,Yes
576629,201018,1750.0,Yes
576642,201018,3150.0,Yes
576678,201018,1750.0,Yes
576826,201018,856.0,Yes
576884,201018,1750.0,Yes
576898,201018,526.0,Yes
576915,201018,1750.0,Yes
576941,201018,4750.0,Yes
576944,201018,1750.0,Yes
577108,201018,1750.0,Yes
577112,201018,1000.0,Yes
577129,201018,1000.0,Yes
577141,201018,3354.0,Yes
577235,201018,1750.0,Yes
577236,201018,1750.0,Yes
577249,201018,534.0,Yes
577385,201018,1750.0,Yes
577404,201128,3650.0,Yes
577465,201018,1750.0,Yes
577620,201018,1750.0,Yes
577622,201018,1750.0,Yes
577794,201018,1750.0,Yes
577795,201018,1500.0,Yes
577824,201018,16.0,Yes
578037,201018,1750.0,Yes
578048,201018,2750.0,Yes
578325,201124,1750.0,Yes
578351,201018,1750.0,Yes
578711,201018,1750.0,Yes
578898,201234,1900.0,Yes
579039,201018,1750.0,Yes
579068,201018,1750.0,No
579411,201018,1093.0,Yes
579543,201018,1750.0,Yes
579697,201018,1339.0,Yes
579725,201018,1290.0,Yes
579921,201018,1750.0,Yes
579973,201018,0.0,Yes
580128,201018,2277.0,Yes
580407,201018,2000.0,Yes
580541,201018,1750.0,Yes
581049,201128,1592.0,Yes
581193,201018,0.0,No
581255,201018,1750.0,Yes
581313,201018,1750.0,Yes
581383,201234,1800.0,Yes
581553,201018,571.0,Yes
581732,201018,2000.0,Yes
581903,201018,1450.0,Yes
581960,201124,1710.0,Yes
582013,201018,2500.0,Yes
582153,201124,1750.0,Yes
582240,201018,844.0,Yes
582353,201018,2394.0,Yes
582471,201018,1750.0,Yes
582743,201018,1750.0,Yes
582779,201018,0.0,No
582809,201018,2107.0,Yes
582839,201018,1750.0,Yes
583054,201018,1750.0,No
583156,201018,1750.0,Yes
583160,201018,1405.0,Yes
583179,201018,3000.0,Yes
583217,201018,1750.0,Yes
583275,201018,974.0,Yes
583309,201018,0.0,Yes
583351,201018,1458.0,Yes
583387,201018,1750.0,Yes
583399,201458,1600.0,Yes
583694,201018,4000.0,Yes
583870,201234,1800.0,Yes
583908,201234,1800.0,No
584019,201018,2446.0,No
584032,201018,250.0,Yes
584113,201018,2272.0,Yes
584271,201018,1500.0,Yes
584274,201018,2768.0,Yes
584278,201018,1750.0,Yes
584320,201018,2000.0,Yes
584403,201018,1750.0,Yes
584994,201018,1000.0,Yes
585002,201344,1900.0,No
585025,201018,4580.0,Yes
585102,201124,2550.0,Yes
585105,201018,1000.0,Yes
585198,201018,2654.0,Yes
585213,201018,3115.0,Yes
585239,201018,1750.0,Yes
585759,201018,2246.0,Yes
585917,201018,1750.0,Yes
585969,201128,2550.0,Yes
586108,201018,1750.0,Yes
586242,201018,1750.0,Yes
586357,201018,1750.0,Yes
586368,201018,1750.0,Yes
586441,201018,1279.0,Yes
586515,201018,1750.0,Yes
586916,201018,1750.0,Yes
586917,201018,1750.0,Yes
587045,201018,2259.0,Yes
587054,201018,1750.0,Yes
587171,201018,1750.0,Yes
587196,201018,1750.0,Yes
587271,201018,1750.0,Yes
587347,201018,1750.0,Yes
587358,201018,4250.0,Yes
587359,201018,1750.0,Yes
587419,201018,66.0,Yes
587473,201018,599.0,Yes
587576,201018,0.0,No
587841,201018,1750.0,Yes
587859,201018,1700.0,Yes
587874,201018,3200.0,Yes
587980,201018,1750.0,Yes
588004,201018,2500.0,Yes
537498,201018,864.0,Yes
588223,201018,1750.0,Yes
588358,201018,1750.0,Yes
588364,201128,5100.0,Yes
588500,201894,0.0,Yes
588529,201018,1000.0,Yes
588568,201018,1750.0,Yes
588570,201018,2000.0,Yes
588658,201124,1750.0,No
537181,201018,1750.0,Yes
588758,201018,1750.0,Yes
588906,201018,4148.0,Yes
589119,201018,1750.0,Yes
589173,201018,2500.0,Yes
589260,201018,1750.0,Yes
589267,201018,2250.0,Yes
589303,201018,3080.0,Yes
589327,201128,1750.0,Yes
589539,201018,1750.0,Yes
537436,201018,0.0,Yes
589822,201018,2954.0,Yes
589877,201018,1434.0,Yes
589885,201018,4000.0,Yes
590132,201018,1750.0,Yes
590182,201018,1587.0,Yes
590329,201124,1750.0,Yes
590366,201018,0.0,Yes
590378,201018,1750.0,Yes
590491,201018,1750.0,Yes
590520,201124,3267.0,Yes
590596,201018,1750.0,Yes
590600,201018,750.0,Yes
590697,201018,1000.0,Yes
590775,201018,1900.0,Yes
590784,201018,931.0,Yes
590874,201018,0.0,Yes
590923,201018,1750.0,Yes
590948,201018,1750.0,Yes
591122,201018,1665.0,Yes
591131,201018,1750.0,Yes
591135,201018,3250.0,No
591141,201018,1750.0,Yes
591144,201018,0.0,Yes
386750,201018,950.0,Yes
591208,201018,1750.0,Yes
591502,201018,1600.0,Yes
591647,201018,1268.0,Yes
591714,201018,0.0,Yes
591735,201018,1750.0,Yes
591765,201018,2400.0,Yes
591843,201018,1750.0,Yes
591868,201018,1750.0,Yes
591869,201018,1750.0,Yes
592149,201018,1750.0,Yes
592350,201018,1750.0,Yes
592366,201018,1500.0,Yes
592461,201018,1419.0,Yes
592473,201018,1750.0,Yes
592475,201018,1750.0,Yes
592573,201124,1750.0,Yes
592596,201234,958.0,Yes
592598,201018,833.0,Yes
592684,201124,1750.0,Yes
592689,201128,1750.0,Yes
592690,201454,900.0,Yes
592827,201564,650.0,No
592935,201124,1235.0,Yes
592938,201124,1750.0,Yes
592944,201018,826.0,Yes
592990,201018,1344.0,Yes
592994,201018,2655.0,Yes
592996,202344,1250.0,No
592998,201018,1750.0,Yes
593036,201018,1500.0,Yes
593075,201018,1750.0,Yes
593088,201018,1374.0,Yes
593090,201018,1750.0,Yes
593093,201018,1351.0,Yes
593239,201124,1750.0,Yes
593336,201018,1750.0,No
593360,201018,4308.0,Yes
386734,201018,1750.0,No
593996,201348,1250.0,Yes
594001,201018,1750.0,No
594109,201018,2732.0,Yes
594200,201018,2400.0,No
594254,201018,1128.0,Yes
594455,201018,1750.0,Yes
594497,201124,1750.0,Yes
594499,201124,1750.0,Yes
594506,201018,1750.0,Yes
594533,201018,1202.0,Yes
594622,201124,1750.0,No
594654,201238,1800.0,Yes
594809,201018,1750.0,Yes
594817,201018,198.0,Yes
594869,201018,764.0,Yes
595021,201018,1750.0,Yes
595081,201124,1750.0,Yes
595236,201124,0.0,Yes
595576,201128,1545.0,Yes
595591,201018,3500.0,Yes
595650,201018,1750.0,Yes
527764,201018,1750.0,Yes
595939,201018,1750.0,No
596183,201018,1554.0,No
596187,201018,5000.0,Yes
596379,201018,1750.0,Yes
596612,201124,3750.0,Yes
596719,201018,2367.0,Yes
386959,201018,1750.0,Yes
597170,201018,2764.0,Yes
597257,201018,1750.0,Yes
597280,201124,3023.0,Yes
597284,201018,1750.0,Yes
597372,201018,1750.0,Yes
597528,201018,1750.0,Yes
597536,201018,1750.0,Yes
597655,201018,889.0,Yes
597857,201124,1547.0,Yes
597989,201018,1000.0,Yes
598049,201018,1750.0,Yes
598060,201124,1750.0,Yes
598133,201234,1900.0,Yes
598320,201018,941.0,Yes
598381,201018,2823.0,Yes
598387,201018,2000.0,Yes
598390,201018,1750.0,Yes
598413,201018,1750.0,Yes
598502,201124,1750.0,Yes
598547,201018,1156.0,No
598788,201018,1750.0,Yes
301391,201124,1750.0,No
599050,201234,1800.0,No
599063,201018,2209.0,No
599074,201018,1750.0,Yes
599097,201018,2628.0,Yes
599113,201018,3689.0,Yes
599123,201344,1800.0,Yes
599124,201564,1800.0,Yes
533328,201018,3250.0,Yes
599267,201018,1750.0,Yes
599331,201234,0.0,Yes
599460,201018,500.0,Yes
599496,201018,1750.0,Yes
599563,201018,1750.0,Yes
599623,201124,1750.0,No
599764,201018,6500.0,Yes
599768,201018,26.0,Yes
599849,201124,3150.0,Yes
600051,201018,527.0,Yes
600082,201018,466.0,No
600129,201018,1179.0,Yes
600230,201124,2500.0,Yes
600262,201234,1800.0,Yes
600343,201124,1750.0,Yes
600419,201018,1750.0,Yes
600483,201018,1539.0,Yes
600656,201124,1221.0,Yes
600687,201454,1800.0,Yes
601135,201018,1750.0,Yes
601209,201124,1750.0,Yes
601259,201018,1416.0,Yes
601282,201128,1250.0,Yes
601334,201018,1462.0,No
601481,201234,1800.0,Yes
601627,201018,1750.0,Yes
601686,201124,2500.0,Yes
601826,201018,153.0,Yes
601888,201018,870.0,Yes
602220,201124,1116.0,Yes
